Client ID,IP,Name,Time,Latitude,Longitude
1813136810,209.52.88.110:18334,,20180330 17:28:21,49.2488463,-123.0000779
1813136810,209.52.88.110:18334,,20180330 17:28:22,49.24828278,-122.9991868
1813136810,209.52.88.110:18334,,20180330 17:28:23,49.24828277,-122.99918681
1813136810,209.52.88.110:18334,,20180330 17:28:24,49.24828277,-122.99918681
1813136810,209.52.88.110:18334,,20180330 17:28:25,49.24828276,-122.99918681
1813136810,209.52.88.110:18334,,20180330 17:28:26,49.24828274,-122.99918682
1813136810,209.52.88.110:18334,,20180330 17:28:27,49.24828272,-122.99918684
1813136810,209.52.88.110:18334,,20180330 17:28:28,49.24828272,-122.99918686
1813136810,209.52.88.110:18334,,20180330 17:28:29,49.24828271,-122.99918687
1813136810,209.52.88.110:18334,,20180330 17:28:30,49.24828271,-122.99918687
1813136810,209.52.88.110:18334,,20180330 17:28:31,49.24828271,-122.99918687
1813136810,209.52.88.110:18334,,20180330 17:28:32,49.24828271,-122.99918686
1813136810,209.52.88.110:18334,,20180330 17:28:33,49.2482827,-122.99918687
1813136810,209.52.88.110:18334,,20180330 17:28:39,49.2488463,-123.0000779
1813136810,209.52.88.110:18334,,20180330 17:28:59,49.2493878,-122.9984252
1813136810,209.52.88.110:18334,,20180330 17:29:21,49.2493878,-122.9984252
1813136810,209.52.88.110:18334,,20180330 17:29:41,49.2498103,-122.9974427
1813136810,209.52.88.110:18334,,20180330 17:29:42,49.2498103,-122.9974427
1813136810,209.52.88.110:18334,,20180330 17:30:02,49.2549808,-122.9931821
1813136810,209.52.88.110:18334,,20180330 17:30:22,49.254968,-122.9975881
1813136810,209.52.88.110:18334,,20180330 17:30:42,49.254968,-122.9975881
1813136810,209.52.88.110:18334,,20180330 17:31:03,49.2550288,-123.0048059
1813136810,209.52.88.110:18334,,20180330 17:31:22,49.2554396,-123.0050053
1813136810,209.52.88.110:18334,,20180330 17:31:42,49.2554396,-123.0050053
1813136810,209.52.88.110:18334,,20180330 17:32:04,49.2588116,-123.007024
1813136810,209.52.88.110:18334,,20180330 17:32:24,49.2607131,-123.0022138
1813136810,209.52.88.110:18334,,20180330 17:32:44,49.2640735,-122.9973488
1813136810,209.52.88.110:18334,,20180330 17:33:04,49.2608923,-123.0019139
1813136810,209.52.88.110:18334,,20180330 17:33:24,49.2608923,-123.0019139
1813136810,209.52.88.110:18334,,20180330 17:33:44,49.2609247,-123.0018598
1813136810,209.52.88.110:18334,,20180330 17:33:54,49.264595,-123.006404
1813136810,209.52.88.110:18334,,20180330 17:34:14,49.2603457,-123.0000417
1813136810,209.52.88.110:18334,,20180330 17:34:34,49.2604114,-122.9999624
1813136810,209.52.88.110:18334,,20180330 17:34:54,49.2604154,-122.9998204
1813136810,209.52.88.110:18334,,20180330 17:35:14,49.260309,-122.9999499
1813136810,209.52.88.110:18334,,20180330 17:35:34,49.2603224,-122.9999224
1813136810,209.52.88.110:18334,,20180330 17:35:54,49.2603274,-122.9999605
1813136810,209.52.88.110:18334,,20180330 17:36:14,49.260364,-122.9999142
1813136810,209.52.88.110:18334,,20180330 17:36:34,49.2603524,-122.999803
1813136810,209.52.88.110:18334,,20180330 17:36:54,49.2603401,-122.9998753
1813136810,209.52.88.110:18334,,20180330 17:37:14,49.2602984,-122.9999394
1813136810,209.52.88.110:18334,,20180330 17:37:34,49.2603673,-122.9998431
1813136810,209.52.88.110:18334,,20180330 17:37:54,49.2603717,-122.9999836
1813136810,209.52.88.110:18334,,20180330 17:38:14,49.2603186,-122.9999108
1813136810,209.52.88.110:18334,,20180330 17:38:34,49.2603692,-122.9998995
1813136810,209.52.88.110:18334,,20180330 17:38:54,49.2603719,-122.9998613
1813136810,209.52.88.110:18334,,20180330 17:39:14,49.2603334,-122.9997777
1813136810,209.52.88.110:18334,,20180330 17:39:34,49.2603626,-122.9998882
1813136810,209.52.88.110:18334,,20180330 17:39:55,49.2603705,-122.9998898
1813136810,209.52.88.110:18334,,20180330 17:40:14,49.260344,-122.9999301
1813136810,209.52.88.110:18334,,20180330 17:40:36,49.260344,-122.9998996
1813136810,209.52.88.110:18334,,20180330 17:40:56,49.2603464,-122.9999403
